Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Создание мультиарендной SaaS платформы для внутреннего использования,114707.56,469,46900.16
Разработка пайплайнов обработки данных с расширенным функционалом,14505.15,132,1524.18
Предоставление команды IT-специалистов для конечных пользователей,31566.4,90,17343.67
Настройка автоматизации развертывания с учетом масштабируемости,6235.77,118,2297.59
Разработка sentiment analysis моделей для образовательной платформы,62369.47,182,13203.84
Fullstack разработка с применением облачных технологий,52711.27,76,23223.08
Оказание технической поддержки второй и третьей линии с применением облачных технологий,2708.18,17,1557.56
Оценка уровня защищенности систем для крупной корпорации,22364.57,58,11009.36
Разработка фронтенда и бэкенда для DApps с учетом масштабируемости,88872.08,228,29976.22
Создание клиентской части веб-приложения для внутреннего использования,4282.69,196,2554.5
Миграция данных в SQL базы с фокусом на безопасность,22882.85,76,8027.29
Настройка межсетевых экранов и систем обнаружения вторжений на основе анализа требований,12151.12,127,6343.49
Программирование встраиваемых систем для IoT для конечных пользователей,45219.96,58,26782.27
Создание дизайна интерфейсов для логистической компании,4537.96,58,2716.52
Создание чат-ботов и систем анализа текста с фокусом на безопасность,28369.74,334,8278.99
Разработка децентрализованных приложений (DApps) с использованием микросервисной архитектуры,118969.02,139,12004.72
Предоставление выделенной команды разработчиков для внутреннего использования,26519.87,282,13320.5
Разработка игр на Unreal Engine с расширенным функционалом,24716.18,99,14635.82
Проектирование и реализация RESTful/GraphQL API для финансового сектора,31153.73,33,16506.97
Frontend разработка для образовательной платформы,14696.87,82,6670.45
Разработка API для интеграции систем для малого и среднего бизнеса,33748.2,141,15658.73
Оптимизация реляционных СУБД в сфере E-commerce,15164.97,119,3163.96
Управление облачной инфраструктурой в Azure с фокусом на безопасность,23925.37,122,12308.13
Создание кроссплатформенного приложения (Flutter) на основе анализа требований,40012.51,183,6791.22
Разработка sentiment analysis моделей для образовательной платформы,60181.56,353,22519.0
Разработка аналитических моделей для Big Data с применением облачных технологий,54338.52,251,7774.68
Стратегический IT-консалтинг для внутреннего использования,6887.92,28,3090.74
Настройка автоматизации развертывания с применением облачных технологий,3056.95,151,947.58
Разработка инфраструктуры для Big Data для стартапа,41538.07,500,6706.86
Разработка Flutter приложения с нуля с применением облачных технологий,68277.41,399,17010.69
Оценка уровня защищенности систем для медицинской организации,19739.92,111,9017.8
Разработка инфраструктуры для Big Data на основе анализа требований,81803.51,504,22812.87
Миграция в AWS с использованием микросервисной архитектуры,21695.31,54,7742.36
Проектирование и разработка веб-платформы для конечных пользователей,21001.93,183,11812.03
Внедрение CRM-системы для финансового сектора,39556.24,198,19225.15
Создание мультиарендной SaaS платформы с фокусом на безопасность,111269.01,484,11420.06
Проведение ручного тестирования ПО для образовательной платформы,2218.12,30,1026.11
Создание интерфейсов взаимодействия с применением облачных технологий,23413.34,95,7048.63
Разработка и аудит смарт-контрактов в сфере E-commerce,32971.3,119,10347.76
Разработка 2D/3D игр на Unity в сфере E-commerce,58624.0,154,33093.69
Оптимизация IT-процессов для финансового сектора,3287.04,52,650.4
Проведение аудита IT-безопасности для внутреннего использования,12085.09,59,3650.43
Создание кроссплатформенного приложения (React Native) для логистической компании,54648.4,180,29614.25
Настройка ETL-процессов для интеграции данных с применением облачных технологий,10871.93,140,2784.97
Масштабирование NoSQL баз данных с использованием микросервисной архитектуры,19382.09,198,3664.93
Внедрение ERP-системы в сфере E-commerce,123406.15,574,56679.06
Разработка высокопроизводительного iOS приложения для логистической компании,28422.76,366,16909.5
Создание ML-решений для предсказаний для финансового сектора,38338.39,282,14175.47
Проведение пенетрационного тестирования (пентеста) для малого и среднего бизнеса,15217.43,175,5046.19
Разработка высококачественной графики на Unreal Engine для стартапа,32645.46,584,16311.85
Проведение аудита IT-безопасности для крупной корпорации,5129.58,33,1787.39
Проведение аудита IT-безопасности для внутреннего использования,23741.12,149,2444.12
Автоматизация регрессионного тестирования на основе анализа требований,4747.65,45,611.96
Разработка тестовых сценариев и фреймворков с применением облачных технологий,13957.12,36,6959.66
Разработка серверной части для IoT-решений с расширенным функционалом,10468.94,400,4388.27
Разработка мобильного приложения на Flutter для стартапа,19641.89,377,3439.18
Разработка API для интеграции систем для внутреннего использования,14885.3,125,4824.1
Внедрение корпоративной аналитики для медицинской организации,18092.24,90,5780.33
Построение хранилищ больших данных с использованием микросервисной архитектуры,18872.81,536,6717.34
Разработка Flutter приложения с нуля в сфере E-commerce,23258.22,344,3509.81
Внедрение CI/CD для конечных пользователей,27400.47,167,11445.75
Оценка уровня защищенности систем в сфере E-commerce,11131.3,140,1592.51
Предоставление выделенной команды разработчиков для внутреннего использования,28787.39,294,9911.1
Проведение аналитики больших данных для малого и среднего бизнеса,65243.08,171,13318.7
Извлечение ценной информации из Big Data для внутреннего использования,21722.31,103,7460.56
Разработка серверной части веб-приложения для логистической компании,24923.41,137,5594.64
Создание облачной платформы для IoT с расширенным функционалом,38091.46,149,19790.3
Анализ уязвимостей веб-приложений с использованием микросервисной архитектуры,24266.33,104,12789.99
Backend разработка для малого и среднего бизнеса,23540.33,120,3820.16
Создание интернет-магазина с нуля с учетом масштабируемости,76122.67,570,22692.69
Аудит соответствия стандартам безопасности с фокусом на безопасность,13665.73,96,2138.5
Разработка пользовательского интерфейса с расширенным функционалом,19242.54,94,2513.02
Создание мультиарендной SaaS платформы на основе анализа требований,53677.85,348,30264.97
Оптимизация реляционных СУБД с использованием микросервисной архитектуры,5777.27,130,2773.88
Функциональное тестирование программных продуктов для финансового сектора,5422.64,52,1473.09
Создание интерактивных приложений на Unity на основе анализа требований,35782.48,278,11076.41
Разработка серверной части веб-приложения с расширенным функционалом,13462.64,73,5744.78
Разработка тестовых сценариев и фреймворков для конечных пользователей,11167.55,78,4392.43
Анализ и интерпретация данных для принятия решений для крупной корпорации,12878.23,31,1450.12
Внедрение AmoCRM для крупной корпорации,25544.1,50,2795.95
Автоматизация DevOps процессов для конечных пользователей,15829.38,23,3871.85
Создание пользовательских интерфейсов для DApps с применением облачных технологий,105358.79,314,11320.07
Разработка прошивок и ПО для IoT-устройств для финансового сектора,47433.75,132,12822.44
Разработка аналитических моделей для Big Data для логистической компании,49059.35,404,16888.73
Базовая IT-поддержка пользователей в сфере E-commerce,3331.0,8,1420.4
Аудит соответствия стандартам безопасности для медицинской организации,22840.61,127,12749.12
Проектирование и разработка SQL баз данных в сфере E-commerce,3791.21,165,892.82
Приемочное тестирование для финансового сектора,3193.52,32,1457.02
Приемочное тестирование с расширенным функционалом,7984.43,27,3625.49
Разработка дашбордов и отчетов для медицинской организации,5605.53,93,3153.99
Архитектура облачных решений на GCP с фокусом на безопасность,16604.01,44,2111.5
Frontend разработка в сфере E-commerce,21962.82,186,8429.46
Разработка нативного iOS приложения для малого и среднего бизнеса,54406.75,197,5785.56
Разработка веб-приложения полного цикла для финансового сектора,41912.28,390,22954.16
Развертывание решений по киберзащите для медицинской организации,29536.32,191,8628.97
Разработка Firmware для микроконтроллеров для логистической компании,32891.11,99,19712.77
Создание интернет-магазина с нуля для образовательной платформы,17889.57,575,5395.58
Настройка и оптимизация GCP с учетом масштабируемости,22213.15,104,2264.69
Базовая IT-поддержка пользователей для образовательной платформы,612.21,11,124.86
Настройка и адаптация корпоративной ERP для конечных пользователей,134128.25,366,45755.69
